"Standard","Division","Day","Time","Subject"
9,"a","monday","9am","Hindi"
9,"a","monday","10am","Science"
9,"a","monday","11am","Social"
9,"a","monday","2pm","Tamil/Malayalam"
9,"a","monday","3pm","English"
9,"a","monday","4pm","Math"
9,"a","tuesday","9am","Science"
9,"a","tuesday","10am","Social"
9,"a","tuesday","11am","Tamil/Malayalam"
9,"a","tuesday","2pm","English"
9,"a","tuesday","3pm","Math"
9,"a","tuesday","4pm","Hindi"
9,"a","wednesday","9am","Social"
9,"a","wednesday","10am","Tamil/Malayalam"
9,"a","wednesday","11am","English"
9,"a","wednesday","2pm","Math"
9,"a","wednesday","3pm","Hindi"
9,"a","wednesday","4pm","Science"
9,"a","thursday","9am","Tamil/Malayalam"
9,"a","thursday","10am","English"
9,"a","thursday","11am","Math"
9,"a","thursday","2pm","Hindi"
9,"a","thursday","3pm","Science"
9,"a","thursday","4pm","Social"
9,"a","friday","9am","English"
9,"a","friday","10am","Math"
9,"a","friday","11am","Hindi"
9,"a","friday","2pm","Science"
9,"a","friday","3pm","Social"
9,"a","friday","4pm","Tamil/Malayalam"
